任务ID,批次号,优先级,是否启用,股票代码,策略ID,开始日期,结束日期,初始资金,K线周期,数据源,场景标签,成本档位,滑点BP,佣金费率,印花税率,最小手数,是否T1,最大重试,任务状态,报告ID,错误信息,创建时间,更新时间
T000024,BULL03,2,1,600000.SH,34R1U500V31B,2020/3/24,2020/7/13,300000.0,1d,default,牛市_低资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000025,BULL03,1,1,600000.SH,34R1U500V31B,2020/3/24,2020/7/13,3000000.0,1d,default,牛市_高资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000026,BULL03,3,1,600000.SH,34R1U500V31B,2020/3/24,2020/7/13,300000.0,5min,default,牛市_低频成本压力场景,cost_x15,8,0.0005,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000027,BULL03,2,1,600000.SH,34R1U500V31B,2020/3/24,2020/7/13,3000000.0,5min,default,牛市_低频滑点压力场景,cost_base,10,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000028,BULL04,1,1,600000.SH,34R1U500V31B,2021/1/4,2021/2/10,1000000.0,1d,default,牛市_基准场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000029,BULL04,2,1,600000.SH,34R1U500V31B,2021/1/4,2021/2/10,1000000.0,5min,default,牛市_基准低频场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000030,BULL04,2,1,600000.SH,34R1U500V31B,2021/1/4,2021/2/10,1000000.0,1d,default,牛市_成本压力场景,cost_x2,5,0.0006,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000031,BULL04,2,1,600000.SH,34R1U500V31B,2021/1/4,2021/2/10,1000000.0,1d,default,牛市_滑点压力场景,cost_base,12,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000032,BULL04,3,1,600000.SH,34R1U500V31B,2021/1/4,2021/2/10,1000000.0,5min,default,牛市_双压力场景,cost_x3,12,0.0008,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000033,BULL04,2,1,600000.SH,34R1U500V31B,2021/1/4,2021/2/10,300000.0,1d,default,牛市_低资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000034,BULL04,1,1,600000.SH,34R1U500V31B,2021/1/4,2021/2/10,3000000.0,1d,default,牛市_高资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000035,BULL04,3,1,600000.SH,34R1U500V31B,2021/1/4,2021/2/10,300000.0,5min,default,牛市_低频成本压力场景,cost_x15,8,0.0005,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000036,BULL04,2,1,600000.SH,34R1U500V31B,2021/1/4,2021/2/10,3000000.0,5min,default,牛市_低频滑点压力场景,cost_base,10,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000037,BULL05,1,1,600000.SH,34R1U500V31B,2023/1/3,2023/5/9,1000000.0,1d,default,牛市_基准场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000038,BULL05,2,1,600000.SH,34R1U500V31B,2023/1/3,2023/5/9,1000000.0,5min,default,牛市_基准低频场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000039,BULL05,2,1,600000.SH,34R1U500V31B,2023/1/3,2023/5/9,1000000.0,1d,default,牛市_成本压力场景,cost_x2,5,0.0006,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000040,BULL05,2,1,600000.SH,34R1U500V31B,2023/1/3,2023/5/9,1000000.0,1d,default,牛市_滑点压力场景,cost_base,12,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000041,BULL05,3,1,600000.SH,34R1U500V31B,2023/1/3,2023/5/9,1000000.0,5min,default,牛市_双压力场景,cost_x3,12,0.0008,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000042,BULL05,2,1,600000.SH,34R1U500V31B,2023/1/3,2023/5/9,300000.0,1d,default,牛市_低资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000043,BULL05,1,1,600000.SH,34R1U500V31B,2023/1/3,2023/5/9,3000000.0,1d,default,牛市_高资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000044,BULL05,3,1,600000.SH,34R1U500V31B,2023/1/3,2023/5/9,300000.0,5min,default,牛市_低频成本压力场景,cost_x15,8,0.0005,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000045,BULL05,2,1,600000.SH,34R1U500V31B,2023/1/3,2023/5/9,3000000.0,5min,default,牛市_低频滑点压力场景,cost_base,10,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000046,BEAR01,1,1,600000.SH,34R1U500V31B,2018/5/22,2018/10/19,1000000.0,1d,default,熊市_基准场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000047,BEAR01,2,1,600000.SH,34R1U500V31B,2018/5/22,2018/10/19,1000000.0,5min,default,熊市_基准低频场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000048,BEAR01,2,1,600000.SH,34R1U500V31B,2018/5/22,2018/10/19,1000000.0,1d,default,熊市_成本压力场景,cost_x2,5,0.0006,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000049,BEAR01,2,1,600000.SH,34R1U500V31B,2018/5/22,2018/10/19,1000000.0,1d,default,熊市_滑点压力场景,cost_base,12,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000050,BEAR01,3,1,600000.SH,34R1U500V31B,2018/5/22,2018/10/19,1000000.0,5min,default,熊市_双压力场景,cost_x3,12,0.0008,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000051,BEAR01,2,1,600000.SH,34R1U500V31B,2018/5/22,2018/10/19,300000.0,1d,default,熊市_低资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000052,BEAR01,1,1,600000.SH,34R1U500V31B,2018/5/22,2018/10/19,3000000.0,1d,default,熊市_高资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000053,BEAR01,3,1,600000.SH,34R1U500V31B,2018/5/22,2018/10/19,300000.0,5min,default,熊市_低频成本压力场景,cost_x15,8,0.0005,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000054,BEAR01,2,1,600000.SH,34R1U500V31B,2018/5/22,2018/10/19,3000000.0,5min,default,熊市_低频滑点压力场景,cost_base,10,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000055,BEAR02,1,1,600000.SH,34R1U500V31B,2020/1/14,2020/3/23,1000000.0,1d,default,熊市_基准场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000056,BEAR02,2,1,600000.SH,34R1U500V31B,2020/1/14,2020/3/23,1000000.0,5min,default,熊市_基准低频场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000057,BEAR02,2,1,600000.SH,34R1U500V31B,2020/1/14,2020/3/23,1000000.0,1d,default,熊市_成本压力场景,cost_x2,5,0.0006,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000058,BEAR02,2,1,600000.SH,34R1U500V31B,2020/1/14,2020/3/23,1000000.0,1d,default,熊市_滑点压力场景,cost_base,12,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000059,BEAR02,3,1,600000.SH,34R1U500V31B,2020/1/14,2020/3/23,1000000.0,5min,default,熊市_双压力场景,cost_x3,12,0.0008,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000060,BEAR02,2,1,600000.SH,34R1U500V31B,2020/1/14,2020/3/23,300000.0,1d,default,熊市_低资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000061,BEAR02,1,1,600000.SH,34R1U500V31B,2020/1/14,2020/3/23,3000000.0,1d,default,熊市_高资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000062,BEAR02,3,1,600000.SH,34R1U500V31B,2020/1/14,2020/3/23,300000.0,5min,default,熊市_低频成本压力场景,cost_x15,8,0.0005,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000063,BEAR02,2,1,600000.SH,34R1U500V31B,2020/1/14,2020/3/23,3000000.0,5min,default,熊市_低频滑点压力场景,cost_base,10,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000064,BEAR03,1,1,600000.SH,34R1U500V31B,2022/1/4,2022/4/27,1000000.0,1d,default,熊市_基准场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000065,BEAR03,2,1,600000.SH,34R1U500V31B,2022/1/4,2022/4/27,1000000.0,5min,default,熊市_基准低频场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000066,BEAR03,2,1,600000.SH,34R1U500V31B,2022/1/4,2022/4/27,1000000.0,1d,default,熊市_成本压力场景,cost_x2,5,0.0006,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000067,BEAR03,2,1,600000.SH,34R1U500V31B,2022/1/4,2022/4/27,1000000.0,1d,default,熊市_滑点压力场景,cost_base,12,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000068,BEAR03,3,1,600000.SH,34R1U500V31B,2022/1/4,2022/4/27,1000000.0,5min,default,熊市_双压力场景,cost_x3,12,0.0008,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000069,BEAR03,2,1,600000.SH,34R1U500V31B,2022/1/4,2022/4/27,300000.0,1d,default,熊市_低资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000070,BEAR03,1,1,600000.SH,34R1U500V31B,2022/1/4,2022/4/27,3000000.0,1d,default,熊市_高资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000071,BEAR03,3,1,600000.SH,34R1U500V31B,2022/1/4,2022/4/27,300000.0,5min,default,熊市_低频成本压力场景,cost_x15,8,0.0005,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000072,BEAR03,2,1,600000.SH,34R1U500V31B,2022/1/4,2022/4/27,3000000.0,5min,default,熊市_低频滑点压力场景,cost_base,10,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000073,BEAR04,1,1,600000.SH,34R1U500V31B,2024/2/5,2024/4/22,1000000.0,1d,default,熊市_基准场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000074,BEAR04,2,1,600000.SH,34R1U500V31B,2024/2/5,2024/4/22,1000000.0,5min,default,熊市_基准低频场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000075,BEAR04,2,1,600000.SH,34R1U500V31B,2024/2/5,2024/4/22,1000000.0,1d,default,熊市_成本压力场景,cost_x2,5,0.0006,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000076,BEAR04,2,1,600000.SH,34R1U500V31B,2024/2/5,2024/4/22,1000000.0,1d,default,熊市_滑点压力场景,cost_base,12,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000077,BEAR04,3,1,600000.SH,34R1U500V31B,2024/2/5,2024/4/22,1000000.0,5min,default,熊市_双压力场景,cost_x3,12,0.0008,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000078,BEAR04,2,1,600000.SH,34R1U500V31B,2024/2/5,2024/4/22,300000.0,1d,default,熊市_低资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000079,BEAR04,1,1,600000.SH,34R1U500V31B,2024/2/5,2024/4/22,3000000.0,1d,default,熊市_高资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000080,BEAR04,3,1,600000.SH,34R1U500V31B,2024/2/5,2024/4/22,300000.0,5min,default,熊市_低频成本压力场景,cost_x15,8,0.0005,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000081,BEAR04,2,1,600000.SH,34R1U500V31B,2024/2/5,2024/4/22,3000000.0,5min,default,熊市_低频滑点压力场景,cost_base,10,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000082,SIDE01,1,1,600000.SH,34R1U500V31B,2019/5/6,2019/8/6,1000000.0,1d,default,震荡_基准场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000083,SIDE01,2,1,600000.SH,34R1U500V31B,2019/5/6,2019/8/6,1000000.0,5min,default,震荡_基准低频场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000084,SIDE01,2,1,600000.SH,34R1U500V31B,2019/5/6,2019/8/6,1000000.0,1d,default,震荡_成本压力场景,cost_x2,5,0.0006,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000085,SIDE01,2,1,600000.SH,34R1U500V31B,2019/5/6,2019/8/6,1000000.0,1d,default,震荡_滑点压力场景,cost_base,12,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000086,SIDE01,3,1,600000.SH,34R1U500V31B,2019/5/6,2019/8/6,1000000.0,5min,default,震荡_双压力场景,cost_x3,12,0.0008,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000087,SIDE01,2,1,600000.SH,34R1U500V31B,2019/5/6,2019/8/6,300000.0,1d,default,震荡_低资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000088,SIDE01,1,1,600000.SH,34R1U500V31B,2019/5/6,2019/8/6,3000000.0,1d,default,震荡_高资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000089,SIDE01,3,1,600000.SH,34R1U500V31B,2019/5/6,2019/8/6,300000.0,5min,default,震荡_低频成本压力场景,cost_x15,8,0.0005,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000090,SIDE01,2,1,600000.SH,34R1U500V31B,2019/5/6,2019/8/6,3000000.0,5min,default,震荡_低频滑点压力场景,cost_base,10,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000091,SIDE02,1,1,600000.SH,34R1U500V31B,2021/3/10,2021/7/28,1000000.0,1d,default,震荡_基准场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000092,SIDE02,2,1,600000.SH,34R1U500V31B,2021/3/10,2021/7/28,1000000.0,5min,default,震荡_基准低频场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000093,SIDE02,2,1,600000.SH,34R1U500V31B,2021/3/10,2021/7/28,1000000.0,1d,default,震荡_成本压力场景,cost_x2,5,0.0006,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000094,SIDE02,2,1,600000.SH,34R1U500V31B,2021/3/10,2021/7/28,1000000.0,1d,default,震荡_滑点压力场景,cost_base,12,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000095,SIDE02,3,1,600000.SH,34R1U500V31B,2021/3/10,2021/7/28,1000000.0,5min,default,震荡_双压力场景,cost_x3,12,0.0008,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000096,SIDE02,2,1,600000.SH,34R1U500V31B,2021/3/10,2021/7/28,300000.0,1d,default,震荡_低资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000097,SIDE02,1,1,600000.SH,34R1U500V31B,2021/3/10,2021/7/28,3000000.0,1d,default,震荡_高资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000098,SIDE02,3,1,600000.SH,34R1U500V31B,2021/3/10,2021/7/28,300000.0,5min,default,震荡_低频成本压力场景,cost_x15,8,0.0005,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000099,SIDE02,2,1,600000.SH,34R1U500V31B,2021/3/10,2021/7/28,3000000.0,5min,default,震荡_低频滑点压力场景,cost_base,10,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000100,SIDE03,1,1,600000.SH,34R1U500V31B,2022/6/15,2022/9/16,1000000.0,1d,default,震荡_基准场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000101,SIDE03,2,1,600000.SH,34R1U500V31B,2022/6/15,2022/9/16,1000000.0,5min,default,震荡_基准低频场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000102,SIDE03,2,1,600000.SH,34R1U500V31B,2022/6/15,2022/9/16,1000000.0,1d,default,震荡_成本压力场景,cost_x2,5,0.0006,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000103,SIDE03,2,1,600000.SH,34R1U500V31B,2022/6/15,2022/9/16,1000000.0,1d,default,震荡_滑点压力场景,cost_base,12,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000104,SIDE03,3,1,600000.SH,34R1U500V31B,2022/6/15,2022/9/16,1000000.0,5min,default,震荡_双压力场景,cost_x3,12,0.0008,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000105,SIDE03,2,1,600000.SH,34R1U500V31B,2022/6/15,2022/9/16,300000.0,1d,default,震荡_低资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000106,SIDE03,1,1,600000.SH,34R1U500V31B,2022/6/15,2022/9/16,3000000.0,1d,default,震荡_高资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000107,SIDE03,3,1,600000.SH,34R1U500V31B,2022/6/15,2022/9/16,300000.0,5min,default,震荡_低频成本压力场景,cost_x15,8,0.0005,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000108,SIDE03,2,1,600000.SH,34R1U500V31B,2022/6/15,2022/9/16,3000000.0,5min,default,震荡_低频滑点压力场景,cost_base,10,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000109,SIDE04,1,1,600000.SH,34R1U500V31B,2023/6/1,2023/9/22,1000000.0,1d,default,震荡_基准场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000110,SIDE04,2,1,600000.SH,34R1U500V31B,2023/6/1,2023/9/22,1000000.0,5min,default,震荡_基准低频场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000111,SIDE04,2,1,600000.SH,34R1U500V31B,2023/6/1,2023/9/22,1000000.0,1d,default,震荡_成本压力场景,cost_x2,5,0.0006,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000112,SIDE04,2,1,600000.SH,34R1U500V31B,2023/6/1,2023/9/22,1000000.0,1d,default,震荡_滑点压力场景,cost_base,12,0.0003,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000113,SIDE04,3,1,600000.SH,34R1U500V31B,2023/6/1,2023/9/22,1000000.0,5min,default,震荡_双压力场景,cost_x3,12,0.0008,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000114,SIDE04,2,1,600000.SH,34R1U500V31B,2023/6/1,2023/9/22,300000.0,1d,default,震荡_低资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000115,SIDE04,1,1,600000.SH,34R1U500V31B,2023/6/1,2023/9/22,3000000.0,1d,default,震荡_高资金场景,cost_base,5,0.0003,0.001,100,1,1,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
T000116,SIDE04,3,1,600000.SH,34R1U500V31B,2023/6/1,2023/9/22,300000.0,5min,default,震荡_低频成本压力场景,cost_x15,8,0.0005,0.001,100,1,2,pending,,,2026-03-28 16:36:56,2026-03-28 16:36:56
